<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
KRME.XXBTZUSD;D;20220221;000000;38400.1000000;39490.9000000;36782.6000000;37019.2000000;4648
KRME.XXBTZUSD;D;20220222;000000;37024.2000000;38418.6000000;36366.0000000;38256.3000000;3384
KRME.XXBTZUSD;D;20220223;000000;38256.3000000;39250.0000000;37086.6000000;37250.1000000;3228
KRME.XXBTZUSD;D;20220224;000000;37250.1000000;39739.9000000;34333.2000000;38340.8000000;10271
KRME.XXBTZUSD;D;20220225;000000;38343.6000000;39700.0000000;38032.3000000;39233.5000000;3275
KRME.XXBTZUSD;D;20220226;000000;39233.5000000;40277.9000000;38601.4000000;39120.2000000;2105
KRME.XXBTZUSD;D;20220227;000000;39120.2000000;39888.0000000;37029.8000000;37709.1000000;3516
KRME.XXBTZUSD;D;20220228;000000;37709.2000000;44194.2000000;37447.6000000;43194.7000000;7314
KRME.XXBTZUSD;D;20220301;000000;43188.4000000;44955.9000000;42841.4000000;44427.9000000;7672
KRME.XXBTZUSD;D;20220302;000000;44428.0000000;45349.0000000;43357.1000000;43922.5000000;5010
KRME.XXBTZUSD;D;20220303;000000;43922.2000000;44085.4000000;41822.8000000;42465.0000000;4385
KRME.XXBTZUSD;D;20220304;000000;42465.0000000;42499.9000000;38586.3000000;39137.5000000;7394
KRME.XXBTZUSD;D;20220305;000000;39137.4000000;39624.6000000;38618.6000000;39396.4000000;1543
KRME.XXBTZUSD;D;20220306;000000;39396.3000000;39678.9000000;38114.2000000;38416.3000000;2535
KRME.XXBTZUSD;D;20220307;000000;38420.4000000;39545.0000000;37159.4000000;38024.0000000;4162
KRME.XXBTZUSD;D;20220308;000000;38009.8000000;39373.0000000;37888.0000000;38752.6000000;3727
KRME.XXBTZUSD;D;20220309;000000;38752.6000000;42590.6000000;38682.0000000;41965.3000000;5254
KRME.XXBTZUSD;D;20220310;000000;41959.0000000;42041.8000000;38576.0000000;39435.8000000;4644
KRME.XXBTZUSD;D;20220311;000000;39435.8000000;40222.4000000;38251.5000000;38732.1000000;3505
KRME.XXBTZUSD;D;20220312;000000;38727.7000000;39499.8000000;38699.0000000;38785.0000000;1553
KRME.XXBTZUSD;D;20220313;000000;38785.0000000;39300.0000000;37593.9000000;37788.4000000;2300
KRME.XXBTZUSD;D;20220314;000000;37783.7000000;39899.8000000;37584.5000000;39689.2000000;3451
KRME.XXBTZUSD;D;20220315;000000;39689.2000000;39900.0000000;38170.0000000;39325.4000000;2580
KRME.XXBTZUSD;D;20220316;000000;39321.7000000;41706.8000000;38807.5000000;41124.0000000;6599
KRME.XXBTZUSD;D;20220317;000000;41129.9000000;41469.1000000;40549.1000000;40945.6000000;2322
KRME.XXBTZUSD;D;20220318;000000;40941.1000000;42368.6000000;40179.1000000;41775.1000000;2584
KRME.XXBTZUSD;D;20220319;000000;41778.7000000;42379.6000000;41537.5000000;42218.0000000;1298
KRME.XXBTZUSD;D;20220320;000000;42218.0000000;42308.2000000;40945.0000000;41289.0000000;1967
KRME.XXBTZUSD;D;20220321;000000;41286.1000000;41572.4000000;40510.1000000;41014.3000000;1954
KRME.XXBTZUSD;D;20220322;000000;41014.3000000;43402.6000000;40916.3000000;42377.8000000;3337
KRME.XXBTZUSD;D;20220323;000000;42377.7000000;43010.6000000;41811.1000000;42910.3000000;2208
KRME.XXBTZUSD;D;20220324;000000;42910.2000000;44246.9000000;42637.4000000;43989.0000000;2598
KRME.XXBTZUSD;D;20220325;000000;43989.0000000;45105.0000000;43604.8000000;44315.5000000;3654
KRME.XXBTZUSD;D;20220326;000000;44315.5000000;44800.0000000;44135.1000000;44548.0000000;1165
KRME.XXBTZUSD;D;20220327;000000;44547.2000000;46976.1000000;44439.4000000;46855.2000000;1896
KRME.XXBTZUSD;D;20220328;000000;46855.3000000;48200.0000000;46683.5000000;47137.9000000;3417
KRME.XXBTZUSD;D;20220329;000000;47138.3000000;48123.0000000;46912.5000000;47440.2000000;1877
KRME.XXBTZUSD;D;20220330;000000;47440.3000000;47707.9000000;46570.6000000;47059.3000000;1737
KRME.XXBTZUSD;D;20220331;000000;47079.2000000;47598.0000000;45250.0000000;45524.3000000;2320
KRME.XXBTZUSD;D;20220401;000000;45523.5000000;46710.9000000;44257.6000000;46312.0000000;4181
KRME.XXBTZUSD;D;20220402;000000;46312.0000000;47200.0000000;45666.1000000;45828.6000000;1420
KRME.XXBTZUSD;D;20220403;000000;45828.6000000;47444.9000000;45566.0000000;46423.4000000;1246
KRME.XXBTZUSD;D;20220404;000000;46424.2000000;46888.0000000;45153.0000000;46617.1000000;1911
KRME.XXBTZUSD;D;20220405;000000;46617.1000000;47188.4000000;45377.0000000;45479.2000000;1883
KRME.XXBTZUSD;D;20220406;000000;45498.3000000;45534.3000000;43123.7000000;43179.4000000;4589
KRME.XXBTZUSD;D;20220407;000000;43179.5000000;43920.8000000;42750.0000000;43469.8000000;1565
KRME.XXBTZUSD;D;20220408;000000;43469.8000000;43968.7000000;42126.0000000;42282.6000000;2239
KRME.XXBTZUSD;D;20220409;000000;42282.6000000;42805.1000000;42111.0000000;42764.0000000;622
KRME.XXBTZUSD;D;20220410;000000;42781.7000000;43416.4000000;41805.4000000;42160.0000000;1121
KRME.XXBTZUSD;D;20220411;000000;42164.9000000;42411.0000000;39240.0000000;39534.6000000;3301
KRME.XXBTZUSD;D;20220412;000000;39530.5000000;40683.4000000;39269.4000000;40078.7000000;2170
KRME.XXBTZUSD;D;20220413;000000;40078.7000000;41548.4000000;39598.0000000;41150.0000000;2414
KRME.XXBTZUSD;D;20220414;000000;41150.0000000;41480.0000000;39600.0000000;39954.9000000;1895
KRME.XXBTZUSD;D;20220415;000000;39953.7000000;40890.3000000;39800.0000000;40569.9000000;1177
KRME.XXBTZUSD;D;20220416;000000;40570.0000000;40708.8000000;40011.9000000;40381.0000000;589
KRME.XXBTZUSD;D;20220417;000000;40381.1000000;40652.8000000;39556.0000000;39681.2000000;982
KRME.XXBTZUSD;D;20220418;000000;39680.5000000;41067.3000000;38570.0000000;40811.3000000;2627
KRME.XXBTZUSD;D;20220419;000000;40811.3000000;41825.8000000;40600.0000000;41506.2000000;1433
KRME.XXBTZUSD;D;20220420;000000;41506.2000000;42235.7000000;40900.8000000;41369.9000000;1847
KRME.XXBTZUSD;D;20220421;000000;41370.0000000;42950.0000000;39800.6000000;40484.1000000;3323
KRME.XXBTZUSD;D;20220422;000000;40479.1000000;40791.3000000;39139.0000000;39715.9000000;2215
KRME.XXBTZUSD;D;20220423;000000;39713.5000000;39958.4000000;39310.0000000;39435.6000000;814
KRME.XXBTZUSD;D;20220424;000000;39439.3000000;39911.0000000;39015.8000000;39467.9000000;1139
KRME.XXBTZUSD;D;20220425;000000;39456.7000000;40614.5000000;38200.5000000;40438.5000000;4131
KRME.XXBTZUSD;D;20220426;000000;40438.4000000;40776.9000000;37672.0000000;38121.7000000;4451
KRME.XXBTZUSD;D;20220427;000000;38121.7000000;39446.8000000;37909.4000000;39249.9000000;3385
KRME.XXBTZUSD;D;20220428;000000;39249.9000000;40349.8000000;38884.4000000;39752.8000000;3135
KRME.XXBTZUSD;D;20220429;000000;39749.8000000;39920.7000000;38131.8000000;38599.5000000;2451
KRME.XXBTZUSD;D;20220430;000000;38597.5000000;38777.4000000;37608.7000000;37660.8000000;1090
KRME.XXBTZUSD;D;20220501;000000;37660.7000000;38660.0000000;37399.4000000;38474.1000000;1634
KRME.XXBTZUSD;D;20220502;000000;38470.8000000;39169.4000000;38011.0000000;38499.9000000;2642
KRME.XXBTZUSD;D;20220503;000000;38499.9000000;38645.1000000;37507.9000000;37727.9000000;1875
KRME.XXBTZUSD;D;20220504;000000;37727.9000000;40029.8000000;37674.8000000;39682.8000000;3073
KRME.XXBTZUSD;D;20220505;000000;39677.6000000;39832.0000000;35407.0000000;36542.6000000;5104
KRME.XXBTZUSD;D;20220506;000000;36540.4000000;36647.0000000;35280.0000000;36017.4000000;2898
KRME.XXBTZUSD;D;20220507;000000;36017.4000000;36105.9000000;34755.0000000;35463.0000000;1293
KRME.XXBTZUSD;D;20220508;000000;35463.1000000;35495.0000000;33700.0000000;34024.2000000;3717
KRME.XXBTZUSD;D;20220509;000000;34028.3000000;34214.1000000;30050.0000000;30075.5000000;11297
KRME.XXBTZUSD;D;20220510;000000;30052.6000000;32648.6000000;29755.0000000;30999.9000000;10419
KRME.XXBTZUSD;D;20220511;000000;30999.9000000;32132.0000000;27700.0000000;28994.1000000;14866
KRME.XXBTZUSD;D;20220512;000000;28998.2000000;30075.9000000;25332.8000000;28943.4000000;12159
KRME.XXBTZUSD;D;20220513;000000;28943.5000000;30966.0000000;28684.5000000;29222.6000000;4290
KRME.XXBTZUSD;D;20220514;000000;29232.8000000;30264.0000000;28600.5000000;30048.2000000;2750
